feature 3,feature 4,output
-5.569827117,-3.56654348,0
7.215072883,-0.23804348,0
-4.764427117,0.53906652,1
1.633572883,1.90844652,0
-1.924877117,-0.88724348,0
1.098072883,1.55801652,0
6.939172883,-1.67984348,0
-0.822117117,1.61103652,0
0.533372883,-3.13204348,0
-1.353362117,-3.30664348,1
-1.128867117,-2.59664348,0
0.537672883,-2.27214348,0
2.022572883,2.28215652,0
2.893172883,1.73904652,0
-1.421052117,2.42305652,0
5.792672883,0.51578652,0
-1.680677117,2.75415652,0
-1.242827117,-0.01694348,1
1.997772883,0.65414652,0
-1.044897117,1.47525652,0
-0.155527117,0.62955652,0
-3.219527117,1.42741652,0
5.093472883,0.43819652,0
-2.470727117,1.51275652,1
8.396572883,0.91147652,1
1.232572883,2.29635652,0
0.858172883,1.03431652,0
0.690172883,1.81792652,0
0.882972883,2.22395652,0
14.22227288,0.23518652,1
-1.917167117,-2.38204348,1
-5.443927117,-3.37124348,0
15.68577288,-1.84284348,1
-1.501597117,0.99940652,1
2.159672883,1.45974652,0
-0.850397117,-3.74624348,1
-0.561647117,1.10026352,1
-3.069627117,-0.88984348,0
-2.728627117,-4.27904348,0
-5.472227117,-0.79924348,1
-2.379857117,1.62008652,1
-6.183327117,-3.14494348,0
4.509172883,1.76361652,0
-4.288927117,-0.31694348,0
-3.594027117,0.41104652,1
-5.300827117,-2.15704348,0
8.933872883,2.17352652,1
-1.122017117,0.03605652,0
-1.613837117,-2.44284348,1
-4.449127117,-0.52384348,0
-1.640407117,-5.38584348,1
0.696172883,-4.45874348,0
-4.389127117,0.61923652,0
-4.239227117,0.59207652,1
1.117772883,1.79077652,1
-1.997707117,-2.82164348,1
-1.582997117,0.89078652,0
-0.871817117,-5.81904348,1
3.377272883,2.73865652,1
-1.276247117,2.33515652,0
-3.424327117,2.21875652,1
-1.596707117,-5.66904348,1
-5.937427117,-1.20144348,1
10.51727288,-1.56354348,1
-0.032927117,1.35629652,1
1.477672883,1.27871052,0
2.432172883,2.21495652,1
-4.804727117,-2.91734348,0
6.329072883,2.10111652,0
6.143972883,1.89939652,1
-4.572527117,-1.80274348,0
-1.806627117,-1.05144348,0
-1.889747117,-4.12904348,1
-5.651227117,-2.81134348,0
-6.326427117,-4.04494348,0
4.520272883,1.56836652,1
-4.992327117,-1.95404348,1
-1.433905117,1.24121052,0
3.239272883,2.61185652,0
3.704572883,0.51190652,0
-1.337082117,1.10284952,1
10.73147288,-0.41004348,1
-2.726027117,-2.11044348,0
-1.978857117,-3.07124348,1
-1.217127117,-1.20144348,1
-4.391727117,-0.11654348,0
0.816172883,1.06664652,0
5.516772883,1.89292652,0
-4.433727117,-1.63074348,0
2.650672883,2.09465652,1
0.647372883,0.99810652,0
1.411672883,0.39423652,0
-5.804627117,-3.21864348,1
-4.531427117,-1.33594348,0
-4.741327117,-2.93034348,0
7.254472883,3.01145652,1
2.924872883,1.90715652,0
6.136272883,1.78172652,1
-1.593277117,1.25802152,1
0.716772883,1.61232652,1
-0.640467117,0.74724652,0
-3.521127117,1.38474652,0
5.250272883,1.13129852,1
-0.912087117,1.55284652,0
-3.940127117,1.73775652,0
1.564172883,0.74207652,1
6.303372883,1.81792652,0
3.882772883,1.60456652,0
-2.191347117,1.67568652,0
-3.630027117,0.53906652,0
-1.594137117,-0.99714348,0
1.038072883,1.68991652,1
-0.837547117,1.24767652,1
3.386672883,2.29765652,1
1.779272883,1.19595262,0
-1.421052117,-1.06694348,0
-3.094427117,0.72397652,1
1.004672883,2.32355652,1
-1.987427117,-2.77254348,1
-2.109947117,0.35285652,1
-0.322627117,-0.10494348,1
7.065972883,0.58949652,0
-0.557357117,1.74422652,0
-5.158627117,-2.14544348,0
-1.481888117,-0.55364348,1
-1.800637117,1.64077652,0
-0.155527117,0.62957652,0
4.208372883,1.67698652,1
2.408172883,2.37525652,1
-2.728627117,-4.27904348,0
-0.747577117,0.26621652,0
4.611972883,0.75888652,0
0.706472883,3.08385652,0
9.142872883,0.29983652,1
2.290772883,0.89336652,0
-1.876037117,1.81792652,1
-0.191527117,-2.43244348,0
-3.821927117,-0.04674348,0
-3.958127117,-0.29884348,0
1.371372883,-1.89844348,0
-2.780027117,-2.88114348,0
-3.670227117,1.18560792,1
-0.589057117,1.62525652,0
-4.602527117,-1.91784348,0
-1.683247117,0.49121652,1
-4.350627117,-4.67214348,0
-3.219527117,-1.75354348,1
0.551372883,2.54465652,1
0.048472883,-2.73894348,0
1.438172883,2.39075652,0
-3.988127117,0.82612652,0
-0.487957117,1.44293652,0
-6.197927117,-3.16174348,0
2.576972883,1.55284652,0
-0.711587117,1.13647052,1
-2.120237117,-1.16134348,1
-1.731227117,-0.08804348,1
0.344872883,2.53045652,0
3.259872883,1.36146652,1
0.295172883,1.83603652,0
-1.864037117,0.49897652,0
2.404772883,1.04078652,0
-5.075427117,-2.10274348,1
1.739872883,1.62008652,0
2.828872883,2.00542652,0
-3.318927117,-2.14154348,0
-3.874227117,-0.01824348,0
-4.264927117,0.29337652,1
-2.023407117,-1.66564348,1
0.030472883,3.21185652,0
1.716672883,0.81966652,0
8.866972883,2.35455652,1
-1.557287117,0.92957652,0
-1.715807117,1.69379652,1
0.778472883,1.10802252,0
-6.613527117,-4.92944348,1
-4.697627117,-3.09714348,0
-1.125447117,0.11885652,1
2.042272883,1.24379752,1
0.826472883,1.68991652,1
-3.983827117,-0.08424348,1
1.616472883,1.95370652,1
-0.393727117,1.67956652,1
-1.672107117,-4.85054348,1
0.444272883,-3.13724348,0
-0.867537117,2.04163652,0
0.278872883,1.02396652,0
4.351472883,1.08474652,1
-3.208427117,-1.06954348,1
-0.469107117,1.79723652,0
5.498772883,0.54681652,1
-6.077127117,-2.55664348,0
0.801572883,1.67568652,0
-1.387635817,1.58646652,0
0.529972883,2.99075652,0
6.562072883,2.11275652,1
-1.531587117,-6.31174348,1
7.129372883,-0.67514348,0
-5.750627117,-2.90964348,0
-0.640427117,0.74725652,0
1.140072883,1.28905552,1
1.277972883,-2.13244348,0
0.493172883,1.92396652,0
-3.806527117,-0.19674348,0
-0.766427117,0.79379652,0
-6.386427117,-1.70704348,1
-5.835527117,-3.18244348,1
-0.370527117,1.73775652,0
2.890572883,2.73345652,0
-3.340327117,0.81707652,0
-1.774067117,-5.85784348,0
-3.748227117,1.61879652,1
7.601472883,0.90759652,1
4.951272883,1.30327652,1
-4.593927117,1.04595652,1
8.006772883,1.27353852,1
-0.675607117,2.15283652,0
-0.640427117,0.74725652,0
5.688172883,-0.01954348,1
3.418372883,0.85198652,0
-2.888827117,-2.81654348,0
0.858972883,3.35415652,0
2.332772883,1.08215652,0
10.55757288,-0.96864348,1
-0.850397117,1.70413652,0
-3.497127117,-0.77604348,0
1.041472883,1.40931652,1
-0.893237117,2.29765652,0
2.430472883,2.82135652,0
-0.947217117,1.26060752,1
7.618572883,1.29164152,1
1.199972883,1.74422652,0
-0.931797117,-0.26264348,0
-3.176727117,1.17138352,0
7.020572883,-0.69194348,0
-5.490227117,-3.27424348,0
6.364172883,2.12697652,0
-4.645327117,-0.26264348,0
-2.595827117,-2.93674348,0
-0.001227117,0.82741652,0
1.962572883,1.19336652,1
3.174172883,0.20285652,0
0.528272883,0.81707652,0
0.643972883,2.32355652,0
-0.693597117,-6.39194348,0
3.450072883,2.62865652,0
-2.559827117,0.70586652,1
-1.646397117,-2.07814348,0
-5.102027117,-5.61864348,0
11.58407288,-1.49234348,1
-3.080727117,-0.46824348,0
3.660872883,0.64121652,1
-2.743127117,-0.76564348,1
1.415072883,1.67827652,1
15.91107288,-2.02774348,1
-1.211987117,0.10065652,1
4.472272883,2.40365652,1
-2.017417117,1.57741652,0
-0.783567117,0.78474652,0
-0.338827117,0.51578652,0
-0.480247117,-6.45014348,0
1.930872883,-4.75094348,0
0.317472883,1.64336652,1
-0.668747117,1.75586652,0
7.714572883,2.42955652,1
-1.854617117,-2.84104348,1
9.007572883,0.66061652,1
6.495272883,2.15930652,1
-0.076627117,0.98259652,1
1.385072883,-2.90574348,0
-2.094527117,-0.05574348,1
-0.696167117,1.60974652,1
-4.444027117,-0.07124348,1
-2.941927117,0.63345652,0
6.945172883,-0.91694348,0
1.307972883,2.04939652,1
-2.667727117,2.31055652,0
-3.503127117,1.48818652,0
-0.719297117,-6.39704348,1
1.095472883,1.56836652,0
-0.228327117,2.88085652,0
-4.586227117,0.26880652,0
-3.775627117,-1.15744348,1
8.986972883,0.13045652,1
-5.483327117,-3.06224348,0
-4.531427117,-1.33594348,0
-3.413227117,1.12612552,0
7.618572883,1.06922652,1
-0.439967117,2.02223652,0
-0.640427117,0.74725652,0
6.824272883,-0.61564348,0
1.474172883,1.63818652,1
0.615672883,0.31923652,0
-3.367827117,1.84637652,1
8.820772883,0.18735652,1
-0.721017117,-5.48804348,1
-5.966627117,-2.94974348,1
-1.137437117,-0.86134348,0
13.76297288,0.43949652,1
1.159772883,1.13000452,0
-1.107447117,-1.00364348,0
-2.651427117,2.20455652,0
0.613072883,1.00198652,0
-6.299927117,-1.47044348,1
14.27967288,0.53000652,1
-5.755827117,-3.54844348,0
5.383072883,1.53344652,1
-2.678027117,1.95241652,0
-6.041127117,-2.72084348,1
8.094972883,-0.21994348,1
-1.953147117,0.38000652,1
6.754072883,1.11060852,0
-4.838127117,-2.23594348,1
-1.355933117,3.12005652,0
0.603672883,1.41189652,0
-5.327427117,-2.89024348,0
3.957372883,1.99637652,1
-4.797027117,-2.97684348,0
0.948072883,0.73431652,1
-2.018267117,-0.52124348,0
5.079772883,1.53344652,1
7.077972883,-0.68164348,1
-2.273607117,-2.36524348,0
-3.151827117,1.68086652,1
16.18187288,-1.42644348,1
-6.125127117,-3.20314348,1
2.792872883,0.20027652,0
0.721872883,2.63645652,1
-1.783497117,1.13259152,1
-4.300027117,0.15375652,0
-4.144927117,-0.74364348,0
7.386372883,-0.92214348,1
0.269472883,2.10758652,0
-3.614527117,0.62440652,1
-2.701127117,1.40413652,0
-3.183527117,-1.01524348,1
9.990372883,0.11755652,1
-3.183527117,1.55284652,1
2.646372883,2.14508652,0
-1.235977117,0.16925652,1
-0.298627117,0.06065652,0
5.688172883,0.78862652,0
0.920672883,1.49465652,0
-1.455326117,-5.91084348,0
1.600972883,1.55543652,1
4.549372883,1.40672652,0
-1.231687117,-3.34794348,1
-0.736437117,1.53344652,0
-2.564027117,-0.42684348,1
0.487172883,-2.69364348,0
2.626672883,0.14335652,0
-1.802347117,-6.68024348,0
7.835372883,0.39294652,1
1.188872883,0.64380652,0
0.104972883,1.51922652,1
-6.610927117,-4.91264348,1
-2.444127117,0.32957652,1
16.19557288,-1.58544348,1
-0.708167117,0.72785652,1
-3.921327117,-0.25364348,1
4.258972883,0.77828652,0
-2.631727117,-0.37514348,1
4.140672883,1.06276652,1
0.284872883,0.73043652,0
-4.883527117,-2.36524348,1
4.070472883,1.24896952,1
1.548772883,-4.59714348,0
-2.071397117,0.72267652,0
-5.028327117,-0.20444348,1
-4.214327117,0.89078652,0
8.369172883,0.58949652,1
-4.944327117,-1.48204348,1
-5.041227117,-1.90874348,1
-1.161427117,1.07181652,0
1.741572883,0.27526652,0
-3.030227117,-0.54584348,0
-2.558127117,-0.04544348,0
-1.842617117,-0.29884348,1
2.041472883,1.06664652,0
7.716272883,-0.54064348,1
9.087272883,0.77052652,1
-0.506807117,2.37395652,0
-3.736227117,0.43561652,0
3.875072883,0.75629652,0
-2.218767117,-0.09454348,1
-2.155367117,0.82095652,1
-2.625727117,-0.30794348,0
4.813272883,1.58905652,1
-0.834977117,0.02445652,1
-2.205057117,0.50026652,0
0.120372883,1.81146652,1
-5.221127117,-2.82554348,0
4.204972883,2.22395652,1
3.371272883,0.24811652,1
10.24567288,0.24552652,1
-1.026047117,1.77784652,0
0.304572883,-1.71094348,0
-5.481627117,-2.50744348,0
-1.709807117,-5.58374348,1
-4.464527117,-1.58674348,1
-3.336127117,-2.70014348,1
-2.124517117,0.01925652,1
-3.806527117,1.13517752,0
-5.453327117,-0.40494348,1
-1.275387117,-0.25494348,0
-1.374783117,-2.08074348,0
7.975072883,0.33216652,1
-2.724327117,2.64675652,0
-1.568427117,1.68215652,0
-6.243327117,-1.70964348,1
-0.594207117,1.48301652,0
-4.764427117,0.16925652,0
-4.544227117,-2.78674348,0
-3.164727117,-2.06914348,1
7.431772883,2.14120652,0
-0.601917117,0.08775652,1
-2.929927117,-0.60404348,0
-3.653927117,-1.27254348,1
-3.611127117,0.38518652,0
-0.672177117,1.58646652,0
-4.173227117,0.53518652,1
-5.334227117,-2.88114348,0
-0.015827117,1.92525652,1
6.359872883,1.83344652,0
3.450972883,1.17009052,1
2.819472883,2.09594652,0
1.243672883,2.80845652,0
-4.974327117,-1.99794348,1
2.091972883,2.66875652,0
3.174172883,0.20285652,0
-3.940127117,-0.09064348,0
-3.061927117,-0.64674348,0
-1.889747117,-2.44544348,1
-4.918627117,-0.68034348,0
-0.047527117,3.12005652,0
-0.555647117,1.02009652,0
-0.339727117,1.59939652,0
-5.043727117,-0.01304348,0
-5.011227117,-2.89024348,0
0.801572883,1.69249652,0
-3.741327117,1.59163652,1
4.404572883,1.50758652,1
-3.079027117,0.24423652,0
-1.459610117,-2.53334348,1
3.166472883,1.87870652,1
0.090372883,2.39855652,1
-1.756077117,-2.70404348,1
-1.726087117,1.05371652,1
2.969372883,2.26145652,0
5.055772883,1.13517752,1
-2.612927117,1.51275652,0
-0.640427117,0.74725652,0
0.673072883,1.86577652,0
4.819272883,0.56880652,1
-4.572527117,-1.80404348,0
-5.905727117,-2.82034348,1
-1.615557117,2.23425652,1
0.613972883,1.86577652,0
-1.071467117,2.30675652,0
2.145072883,1.34594652,0
0.453672883,1.59422652,0
5.742172883,2.52395652,1
9.584172883,0.36966652,1
-0.731297117,2.13861652,0
1.685872883,-4.25184348,0
-2.723427117,1.41448652,0
3.337872883,0.91405652,0
-0.217227117,-4.03464348,0
0.825572883,1.41448652,0
-2.181927117,-1.00614348,0
-0.239427117,2.04939652,0
-4.926427117,-3.57554348,0
-1.319089117,-6.59364348,0
-3.785027117,0.23001652,0
-5.557027117,-0.74624348,1
-0.564217117,0.88172652,1
-3.846727117,-0.02994348,0
2.527272883,1.31750652,0
-2.303597117,1.19465952,1
11.15737288,-0.31824348,1
5.094372883,1.55284652,1
2.596672883,2.49675652,0
-0.949787117,-1.03074348,0
5.377972883,0.79250652,0
3.732872883,2.01835652,0
-0.055227117,2.40495652,0
4.392572883,1.35888652,1
-1.239407117,-4.35404348,1
-4.476527117,-1.58294348,0
9.042672883,2.16318652,1
-6.214227117,-3.15014348,1
-4.605027117,-1.40314348,0
1.411672883,1.79853652,1
-3.367827117,-2.24754348,1
-2.798027117,-0.45924348,0
2.295872883,0.04895652,0
-0.201727117,0.54552652,0
0.892372883,3.05795652,0
-1.570147117,-5.76734348,1
3.878472883,0.86621652,1
-4.348827117,-0.28074348,0
-4.515927117,1.07440652,1
7.023072883,0.74336652,0
-0.780997117,-2.07294348,1
-1.169137117,1.04465652,0
5.277672883,2.09077652,1
3.174172883,0.20285652,0
-0.661897117,-6.46954348,0
11.39807288,-1.94364348,1
-3.451727117,-1.95914348,0
7.935672883,1.08862652,1
2.258172883,0.57914652,0
10.04427288,0.62052652,1
-5.205727117,-2.17254348,0
-2.800527117,-2.72344348,0
-3.875027117,0.68517652,0
-1.331941117,-0.38424348,0
11.65687288,-1.52854348,1
-2.133087117,0.60500652,0
0.696172883,1.39250652,0
-3.378027117,1.76879652,1
-5.284527117,-2.54494348,0
-3.697627117,1.78560652,1
0.739872883,2.13602652,0
-4.639327117,-0.10744348,0
-1.454469117,-0.97774348,0
-2.238477117,-0.84064348,1
-5.780627117,-2.84104348,0
-4.708727117,1.25672752,1
-4.827827117,-1.65404348,1
-0.178627117,1.63689652,1
-1.752647117,0.59207652,1
0.152972883,1.88775652,0
-1.509307117,0.60500652,0
-4.954627117,-3.21224348,0
-0.022727117,2.54855652,1
-4.520227117,-0.12044348,1
0.540272883,1.15069452,0
-0.334627117,-0.25234348,1
-2.806527117,0.43044652,1
1.235172883,1.72870652,1
0.397972883,2.16447652,1
-4.204927117,0.74466652,0
6.690672883,1.88387652,0
-1.190567117,1.12483252,0
1.320872883,1.23603852,1
-0.239427117,1.55672652,1
-5.781527117,-3.14624348,0
-1.243687117,-0.42174348,0
9.846372883,0.80155652,1
-4.803027117,-1.99154348,1
1.788672883,-3.69714348,0
0.306372883,2.93515652,1
-6.338427117,-2.89924348,1
-0.612197117,1.86835652,0
1.134872883,1.90973652,1
3.164772883,2.67135652,1
0.592472883,1.94335652,1
-3.337827117,1.63172652,1
-2.332727117,-1.24154348,0
-6.317027117,-4.62814348,1
2.057672883,0.93991652,0
-5.029227117,-0.05444348,0
6.692372883,-0.54324348,0
-1.909447117,1.19724572,1
0.971272883,1.94594652,0
-1.377354117,1.95499652,1
2.228272883,0.86621652,0
0.385172883,0.47052652,0
1.696972883,-3.70614348,0
3.172472883,2.18128652,0
-2.464727117,1.26707252,0
-4.789327117,-0.35574348,0
-2.769727117,2.35845652,0
-3.546827117,-2.98974348,0
8.841272883,0.03735652,1
-4.754127117,-2.16094348,0
-4.408827117,-1.74714348,1
3.348972883,2.32865652,0
-1.712377117,0.00885652,0
-2.559827117,1.47396652,0
-1.817767117,2.08301652,1
0.058672883,1.84508652,0
6.268272883,1.91491652,0
-4.593027117,1.32008652,1
1.246272883,-3.64534348,0
6.095972883,1.80499652,1
0.742472883,3.27785652,0
16.52977288,-0.84064348,1
2.313872883,2.18904652,1
-4.337727117,0.57009652,1
6.989672883,0.65026652,0
10.96537288,0.23647652,1
6.959672883,-0.32994348,0
-2.891427117,0.03345652,1
6.632372883,1.16362552,0
3.245272883,0.89595652,0
-0.150327117,0.82095652,1
1.056072883,1.71189652,0
-1.586427117,0.02445652,1
-3.868227117,1.12871152,1
-5.109727117,-4.92684348,0
2.290772883,1.94077652,0
1.470772883,1.46879652,0
1.506772883,1.30198652,0
9.541372883,0.78345652,1
-0.051827117,1.15457352,0
-4.358327117,-1.49754348,1
-1.876037117,-2.69624348,1
-5.377127117,-0.59244348,1
-0.711587117,-6.39704348,1
-6.004327117,-3.13464348,0
-2.786027117,-3.13594348,0
-0.660177117,0.73819652,1
0.307172883,2.29245652,1
9.127472883,1.02784652,1
6.933972883,1.54379652,0
0.815272883,1.49982652,0
-4.677027117,-0.00924348,0
-0.709017117,1.82568652,0
-3.762827117,-0.08294348,1
-2.941127117,-2.97164348,0
15.71397288,-1.61004348,1
-4.708727117,0.22354652,0
-1.243687117,-1.91914348,0
6.685472883,0.84810652,0
-4.507427117,0.98647652,1
-1.825477117,1.42482652,1
-2.332727117,-1.95404348,1
0.409972883,2.08947652,0
1.485372883,1.21146952,0
-3.749127117,0.47181652,0
-4.180027117,-0.24194348,0
-2.731127117,-0.56004348,0
-1.288247117,-6.37254348,1
-5.939127117,-3.06094348,1
-0.570207117,-0.30404348,1
-2.337867117,1.84120652,1
2.482672883,0.48733652,0
3.844272883,1.48689652,1
-2.046547117,-4.28024348,1
-1.493027117,1.75586652,1
4.614572883,1.23862452,1
-4.839027117,-2.81524348,0
-1.170857117,1.02655652,0
2.948872883,1.97827652,0
-0.492237117,2.77225652,1
-0.035527117,2.80975652,0
-5.896327117,-2.50484348,1
-1.160577117,-0.81994348,0
-3.132127117,2.27055652,0
3.347272883,2.41665652,0
3.060172883,1.40801652,0
-3.025927117,0.62311652,1
-1.853757117,1.61103652,1
-2.390997117,0.66061652,1
-4.932427117,-0.02344348,0
0.026172883,1.21664252,1
-1.189707117,1.52827652,0
1.286572883,2.38685652,1
-2.117667117,-2.33164348,1
-1.353362117,1.03560652,1
-3.810827117,-1.23244348,1
-0.021827117,1.27353852,0
-4.023227117,0.15755652,0
-1.056897117,1.77654652,0
1.192272883,-2.08204348,0
-1.429621117,1.54249652,1
-0.499947117,-5.43244348,1
-1.660967117,2.74505652,0
-1.325943117,-1.33854348,0
-6.548427117,-5.19964348,1
-3.248727117,1.06276652,0
-2.151077117,0.57914652,0
-1.266817117,-3.82254348,1
4.245272883,1.74163652,1
0.960972883,1.58646652,1
-3.348927117,0.83000652,0
-0.542797117,-6.34274348,1
-2.828027117,2.05456652,0
-4.502227117,1.07310652,1
-0.841827117,-1.72384348,1
-3.089327117,-3.20054348,0
-6.683727117,-4.68244348,1
4.406272883,2.07396652,1
